labels 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64
10 0.000218296 0.000251201 0.000292331 0.000525854 0.00164296 0.0006063 0.00089992 8.74157e-05 0.00115887 0.000166336 0.966398 0.000799612 0.000193389 0.000545343 0.000485845 0.000317256 0.00022092 0.000384648 0.000248189 0.000214358 0.00107989 0.000397681 0.000651549 0.000849482 0.000172655 0.00030069 0.000214504 0.0010185 0.000617981 9.66087e-05 8.785e-05 0.000140546 0.00121891 0.000610202 9.15208e-05 0.000313738 0.000589107 0.000877809 0.000179095 0.00128679 0.000145673 0.000393832 0.000571868 0.00182169 0.000180341 0.000275776 0.000353664 0.000212505 0.000597422 0.00112148 0.000136289 0.000699854 0.000468299 0.000224856 0.000353088 0.00012336 0.000186199 5.51016e-05 0.00173044 0.00051825 0.000241443 0.000304277 0.001314 0.000711947 0.000806566
11 0.00128652 0.000170856 0.00078368 0.0095085 0.000283957 0.00457628 0.00365533 0.000379433 0.00745892 0.000801559 0.000364404 0.89483 0.00170989 0.0115775 0.00184261 0.000756443 0.00176451 0.00277587 0.00012666 0.000221939 0.00107919 0.000482466 0.00126289 0.00486826 0.00148447 0.00111631 0.00133375 0.00304118 0.00394982 0.000163382 0.00190282 0.000740182 0.000759238 0.000283616 0.000162839 0.00049335 0.00212454 0.00278024 0.0012536 0.000786491 0.00351732 0.000197604 0.0030227 0.000495248 0.000138649 0.000180344 0.00032933 9.99547e-05 0.000774073 0.00339916 0.00199154 0.00136018 0.00090116 0.000273777 0.00364876 0.000122471 0.0010266 0.000341824 0.000734452 0.000287792 0.000651218 0.000634906 0.000640192 0.000102623 0.000185128
12 0.00934088 0.00144871 0.00370307 0.00937505 0.0015861 0.0062708 0.0101136 0.00113684 0.00836334 0.00502423 0.000980985 0.00416798 0.266671 0.00756142 0.0025165 0.00139447 0.0446728 0.0010078 0.00153213 0.00267718 0.00100296 0.002752 0.000977168 0.00267742 0.23224 0.0020313 0.0156471 0.00194863 0.0124272 0.00120044 0.00357033 0.00125298 0.00103837 0.000734946 0.000850792 0.00211296 0.0118501 0.00211914 0.141553 0.0041946 0.0359802 0.00276294 0.00790484 0.00114053 0.00181769 0.00275928 0.000861151 0.00153749 0.00181465 0.00354986 0.0713574 0.00265769 0.00236306 0.00174761 0.0114668 0.00169116 0.00326808 0.00103762 0.00133602 0.000894878 0.00164169 0.0032558 0.0027966 0.00123349 0.00139655
13 0.00341346 8.95173e-05 0.000545838 0.000966768 0.000118206 0.00127293 0.00102442 0.000137285 0.000608773 0.0015391 0.000147733 0.0038621 0.00098135 0.922883 0.000600547 0.000466687 0.00121054 0.00121757 7.77173e-05 0.0003232 0.00034832 0.000327152 0.000902114 0.00225147 0.00623407 0.000923681 0.00349711 0.00150857 0.000754427 9.8177e-05 0.00286718 0.000296083 0.000588906 0.000111317 7.55931e-05 0.000244729 0.0011715 0.00420365 0.0010045 0.000423005 0.00146666 0.000126875 0.00139802 0.000428221 0.000100135 0.000152681 0.000188841 7.20454e-05 0.00143159 0.00466518 0.0108768 0.00464547 0.000627707 0.000245883 0.000803362 8.53917e-05 0.00149309 0.000131849 0.000560077 0.000121066 0.000284017 0.00028894 0.000269401 6.51743e-05 0.00015317
14 0.00121294 0.000605593 0.00156152 0.00136821 0.000373471 0.0109379 0.00219849 0.000697661 0.00106714 0.000853512 0.000540315 0.00752777 0.00394268 0.00679959 0.822302 0.0144028 0.00726445 0.00943749 0.000677976 0.000783368 0.00437044 0.00416114 0.000992631 0.00370649 0.00137325 0.00368355 0.00359055 0.00566271 0.00327957 0.00120478 0.00475484 0.00138954 0.0010665 0.000440722 0.000295934 0.00396832 0.00354646 0.0022829 0.00308657 0.00185201 0.00632655 0.00142035 0.00455054 0.00118047 0.000480627 0.000390501 0.000984941 0.000356108 0.000954626 0.00534416 0.00215949 0.00304156 0.00158966 0.00249673 0.00443678 0.000398312 0.00431698 0.000750564 0.0013549 0.000829164 0.00109165 0.00444516 0.00100365 0.00035781 0.000475162
15 0.000496023 0.000122553 0.000285267 0.000412715 0.000159526 0.00318087 0.00124786 0.000658594 0.000574832 0.000322515 0.000218869 0.00406688 0.00093811 0.00127507 0.0341066 0.904818 0.00125198 0.00391133 0.000147204 0.00010048 0.00268363 0.000644526 0.000367337 0.00146038 0.000414882 0.00538743 0.000471487 0.0047735 0.00100048 0.000532431 0.000769692 0.00123796 0.000575565 0.000275021 0.000152362 0.000488514 0.000515311 0.000713358 0.000958628 0.000402312 0.001791 0.00102962 0.000960961 0.000607944 0.000132728 8.58253e-05 0.000590089 8.5105e-05 0.000348414 0.00267912 0.000453141 0.00219073 0.000740158 0.0020125 0.000963952 0.000116374 0.000369549 0.000542726 0.000503586 0.000279058 0.000206364 0.00051438 0.000337467 0.000172945 0.000166492
16 0.00125762 0.00029485 0.00112621 0.00125259 0.000248665 0.000506212 0.0014598 0.00031863 0.00200064 0.00100754 0.000203396 0.00156821 0.0119962 0.000977616 0.000715854 0.000425284 0.922427 0.000227308 0.000260187 0.000234893 0.000243322 0.000493675 0.000243547 0.00052958 0.00747497 0.000538124 0.00258067 0.000841068 0.00307884 0.000273535 0.000786641 0.000339807 0.000423812 0.000240861 0.000235647 0.000591718 0.00150418 0.00038557 0.00874484 0.000457208 0.00452142 0.000936834 0.000897268 0.000195521 0.000303764 0.000345711 0.000222977 0.000261513 0.00058946 0.00126078 0.00299546 0.000668408 0.00043918 0.000336354 0.00370529 0.000367636 0.000412634 0.000296976 0.000301955 0.000288352 0.000449821 0.000633432 0.000533388 0.000333445 0.00018612
17 0.000375139 3.00377e-05 0.000157725 0.000571365 0.000134478 0.00078495 0.000472224 7.73453e-05 0.000649445 0.000306965 0.000204174 0.00412163 0.000335919 0.00108623 0.00395631 0.0019206 0.000432544 0.933085 5.4752e-05 0.000156139 0.000532874 0.000122315 0.00518015 0.0142784 0.000250331 0.000503249 0.000214148 0.0016387 0.000790884 8.70509e-05 0.00128351 0.000224465 0.000980482 9.38428e-05 4.98339e-05 0.000118491 0.00132984 0.000935234 0.000243121 0.00162818 0.0032509 9.4673e-05 0.000499074 0.000516848 3.10195e-05 2.92686e-05 8.63554e-05 2.39234e-05 0.000864509 0.00395587 0.000457773 0.00101106 0.00192242 0.000136188 0.000371018 5.9199e-05 0.005393 0.000124902 0.0013072 9.69339e-05 9.01517e-05 0.00010878 0.000105811 3.62255e-05 2.88623e-05
47 0.00180841 0.0389353 0.00344809 0.00334407 0.00537213 0.00602467 0.00253838 0.00778631 0.00247986 0.00229923 0.00561648 0.00269335 0.00286044 0.0024397 0.00942144 0.00894435 0.00190502 0.00261948 0.075435 0.0168206 0.00285639 0.0136671 0.00381908 0.00430611 0.00242182 0.00394318 0.00299613 0.0031089 0.00349974 0.0131017 0.00272373 0.0049674 0.00349022 0.00339536 0.00566453 0.00596779 0.00206703 0.00307981 0.00219704 0.00360997 0.00265984 0.0250844 0.00214649 0.00696002 0.240195 0.0299281 0.00727295 0.27441 0.00210047 0.00164681 0.00291758 0.00412433 0.00283252 0.010115 0.00300748 0.023227 0.00233749 0.00603202 0.00388416 0.00438673 0.00852224 0.00459858 0.00200853 0.0212508 0.0146752
19 0.0165125 0.00262235 0.004364 0.013697 0.0040824 0.00477258 0.0067242 0.00171566 0.00773657 0.0114256 0.00490478 0.00784831 0.0045923 0.0135545 0.00247195 0.00171221 0.00601067 0.0185142 0.00288178 0.466839 0.00124112 0.00221788 0.00909154 0.0108637 0.0280716 0.00202703 0.0128211 0.00132394 0.00620643 0.00235831 0.0740757 0.00513926 0.00425088 0.00137844 0.00160826 0.00238408 0.00851526 0.0116942 0.0043849 0.0438648 0.00643045 0.00159785 0.00657827 0.00593378 0.0024448 0.00427652 0.00107707 0.00277597 0.00650416 0.00755929 0.0170382 0.00357682 0.00428926 0.00164081 0.00821262 0.00262279 0.059797 0.00255444 0.00491086 0.0014985 0.00372438 0.00243934 0.00138914 0.00246681 0.00215964
20 0.000599612 0.000261957 0.000206463 0.000231662 0.00101291 0.00139487 0.00132807 0.00038843 0.000293836 0.000253142 0.00162867 0.000591127 0.000655072 0.000677926 0.000942051 0.00115291 0.000506491 0.00096555 0.000314681 0.000193674 0.91866 0.00137279 0.00167378 0.00632177 0.000384153 0.0011365 0.000462527 0.0121094 0.000381585 0.000285553 0.00111052 0.00193118 0.00238812 0.00218721 0.000356212 0.000381998 0.000480756 0.00158339 0.000732101 0.00123776 0.000395497 0.000307532 0.000981861 0.00206318 0.000245186 0.000159037 0.00440687 0.000214219 0.000553966 0.00170709 0.000396005 0.00117021 0.000664098 0.00184032 0.000366862 0.00044593 0.000956293 0.00088766 0.00235294 0.00209493 0.000640948 0.000445095 0.00741772 0.000296642 0.000213665
21 0.00572529 0.00149565 0.00299413 0.00197759 0.00081669 0.00898528 0.00592001 0.000682658 0.00322071 0.00168951 0.00143658 0.00794631 0.0162686 0.0309234 0.0432921 0.00447907 0.00765118 0.00355288 0.00147676 0.00231634 0.00998424 0.570769 0.00262854 0.00826668 0.00598362 0.00533535 0.00528886 0.00536534 0.00275375 0.000779168 0.0343946 0.0034524 0.00191232 0.00090909 0.000646558 0.0041177 0.00304403 0.0294279 0.0119986 0.00937022 0.00571684 0.000865039 0.0057085 0.00852282 0.00123726 0.0011019 0.00919373 0.00123615 0.00146127 0.00357533 0.00551007 0.00417833 0.00224078 0.0103328 0.0029456 0.00234961 0.0464857 0.00207339 0.00327348 0.00103608 0.00253324 0.00534027 0.00218095 0.000887966 0.000734334
22 0.000273451 0.000198425 0.000768987 0.000460629 0.000243795 0.000216758 0.000191025 0.000976186 0.000555247 0.000495258 0.00024814 0.000404862 0.000271308 0.00063652 0.00045265 0.000409682 0.000278533 0.00103404 0.000260163 0.000320422 0.00128967 0.000330667 0.920552 0.00333757 0.000403112 0.000702515 0.000293864 0.000928276 0.000438491 0.000220399 0.0011494 0.0225939 0.00229813 0.000441837 0.00154434 0.000349818 0.000358382 0.000389237 0.00026998 0.00055654 0.000412943 0.00039941 0.000534837 0.00042258 0.000242237 0.000462207 0.0012258 0.000258218 0.00260902 0.000967795 0.000292684 0.00161432 0.00117009 0.000287908 0.000288712 0.000252846 0.0014858 0.0132603 0.00222983 0.000480301 0.00179002 0.00043804 0.000397341 0.000694858 0.000637311
23 0.000547173 4.27568e-05 0.00018634 0.000323819 0.000204542 0.000328945 0.000320959 8.73478e-05 0.000424044 0.000461425 0.00042931 0.000742431 0.000574635 0.00247258 0.000666823 0.00038476 0.000825568 0.0135685 6.88175e-05 0.000189341 0.00206587 0.000179436 0.0172295 0.905559 0.000484622 0.000364298 0.000523242 0.00331426 0.000883263 0.000122459 0.00211933 0.000459197 0.0040268 0.000961852 0.000146466 0.000133389 0.00117535 0.00135273 0.000400916 0.0018489 0.000534885 5.96926e-05 0.0012282 0.000747412 4.22899e-05 3.06576e-05 0.000338775 2.82688e-05 0.00221743 0.00774173 0.000729533 0.00165425 0.00297322 0.000241011 0.000529201 8.67276e-05 0.00795507 0.000288758 0.00425327 0.000924333 0.000351852 0.000120367 0.000640664 4.31166e-05 3.85347e-05
24 0.0071081 0.000749765 0.00211508 0.00330266 0.000607327 0.0026345 0.0034967 0.000662207 0.00263443 0.00295907 0.000460233 0.00154056 0.0196811 0.0059923 0.00142011 0.000819025 0.0125047 0.000590013 0.000808202 0.00141693 0.000573048 0.00131269 0.000608843 0.00154048 0.518432 0.00106743 0.0215945 0.00102194 0.00344024 0.000699565 0.001819 0.000728009 0.000601945 0.000460694 0.000465425 0.00134239 0.0059471 0.00116979 0.0110335 0.00231185 0.0156226 0.00157411 0.00410334 0.0005967 0.000975428 0.0014328 0.000479296 0.00078626 0.00126669 0.00186992 0.305392 0.00175561 0.00146156 0.000854499 0.00376453 0.000824342 0.00164407 0.000592763 0.00104497 0.000530867 0.00117141 0.0019632 0.00122953 0.000689791 0.000700019
25 0.00341095 0.00040825 0.00384746 0.00282213 0.000354372 0.00134041 0.00111068 0.00148523 0.00223305 0.00498386 0.000480103 0.0104907 0.00280677 0.0106549 0.00487272 0.0106282 0.00305102 0.00750002 0.000380098 0.000362733 0.00350909 0.00117293 0.00177453 0.0059041 0.00350858 0.719795 0.00432442 0.0889209 0.00110827 0.00082577 0.00280491 0.00295405 0.00256699 0.000401393 0.000381176 0.000911002 0.00385233 0.00114081 0.00437469 0.000898243 0.00806727 0.00119433 0.00285439 0.00107598 0.000495655 0.000326981 0.00130945 0.000341288 0.00167031 0.0155743 0.0034844 0.0233285 0.00235765 0.00342335 0.00135193 0.000449009 0.0014025 0.00123102 0.00182979 0.000539683 0.000671738 0.0014205 0.000580601 0.000263124 0.000403317
26 0.0139987 0.00167876 0.00303449 0.00471678 0.00141861 0.00325367 0.00724042 0.00130035 0.00575468 0.00626436 0.0018996 0.00330577 0.0318739 0.00940272 0.00197612 0.00156472 0.0252588 0.00202448 0.00166756 0.00236159 0.00208059 0.00185759 0.00148957 0.00369042 0.128736 0.00243332 0.47004 0.00565709 0.00474334 0.00134631 0.00370051 0.00150964 0.00167586 0.0016887 0.000933899 0.0018609 0.0160718 0.00256268 0.0213683 0.00384993 0.0351426 0.00263801 0.00593748 0.00166578 0.0018716 0.0028735 0.00126572 0.00175161 0.00394827 0.00685407 0.0848974 0.00356723 0.00390552 0.00173059 0.00534138 0.00191994 0.00471414 0.0014786 0.00346714 0.00179918 0.00149241 0.00246497 0.00859422 0.00182552 0.00156062
27 0.000804801 0.000612292 0.00593492 0.00398804 0.000376975 0.000538038 0.00031265 0.00179597 0.00206752 0.00139859 0.0013111 0.00265642 0.000912598 0.00175165 0.00142469 0.00142817 0.00112809 0.00264107 0.000683386 0.00046362 0.00545743 0.000636553 0.00478499 0.00484612 0.000912885 0.00720772 0.00246539 0.888888 0.000650728 0.000771676 0.000682794 0.00256931 0.00160263 0.00138802 0.000689558 0.000970783 0.0029889 0.000262229 0.000917529 0.000714581 0.00254776 0.00122873 0.00138266 0.000526121 0.00072392 0.000548224 0.00313763 0.000708993 0.00164078 0.00457689 0.00108044 0.00412726 0.00120665 0.000894761 0.000726145 0.000500903 0.00158505 0.00125341 0.00138371 0.00156065 0.000748667 0.00219884 0.0031975 0.00029129 0.000584668
54 0.00209003 0.000179498 0.000523777 0.0049681 0.00038061 0.0035291 0.00684563 0.000188135 0.0159769 0.00182898 0.000275469 0.00592034 0.00438018 0.00207827 0.000799429 0.000448505 0.00576196 0.00113399 0.000172921 0.000412658 0.00036109 0.000355763 0.00044129 0.00153375 0.00471441 0.000585364 0.00289311 0.000775631 0.418727 0.000157642 0.00104399 0.000634211 0.000717686 0.000173721 0.000207575 0.000292475 0.00349644 0.000769977 0.00379305 0.00142096 0.00577956 0.000477136 0.00234677 0.000261432 0.000221079 0.000272141 0.000190765 0.000175333 0.000848107 0.000915948 0.00494663 0.000662294 0.00105752 0.000263243 0.475128 0.000331986 0.000753112 0.000347554 0.000534855 0.000175401 0.000404401 0.000346425 0.00211191 0.000239422 0.000219549
29 0.000680876 0.00738844 0.000914064 0.00107019 0.00149611 0.00245094 0.000931302 0.00858348 0.000820347 0.00108233 0.00107173 0.00115732 0.00155684 0.00124983 0.00515588 0.00665799 0.00149367 0.00158765 0.0170503 0.00593966 0.00167885 0.00276644 0.00127007 0.00254123 0.00122357 0.0019649 0.0013358 0.0016171 0.00157751 0.824058 0.00202659 0.00358004 0.00190888 0.00110499 0.00188762 0.00206895 0.00104003 0.00164343 0.00111712 0.00127384 0.000953612 0.00751075 0.00129038 0.00242799 0.0047959 0.00211862 0.00139434 0.00604422 0.00343235 0.00261901 0.000947743 0.00246161 0.00149082 0.00729155 0.001417 0.00202619 0.00157858 0.00714543 0.00219311 0.00255415 0.00271321 0.00303848 0.000684049 0.00273699 0.00311013
30 0.0070527 3.34767e-05 0.000101985 0.000320774 0.00014894 0.00065721 0.00199028 0.000109298 0.000583329 0.00128901 7.67191e-05 0.000866144 0.00242529 0.00891156 0.000348775 0.000356356 0.00164463 0.00366086 5.14687e-05 0.000379148 0.000225013 0.000155794 0.00142675 0.00219295 0.00360068 0.000317112 0.00194259 0.000419364 0.000513022 0.000137103 0.832029 0.000562781 0.00197284 6.71207e-05 6.593e-05 0.000116899 0.00100273 0.00269986 0.00182604 0.00183788 0.00176089 4.67498e-05 0.00357273 0.000247598 4.44973e-05 7.27548e-05 0.000120258 4.15671e-05 0.00123031 0.00137774 0.0039232 0.00138425 0.00170177 0.000180139 0.000648109 0.000109701 0.0968923 0.000458852 0.00142371 6.64648e-05 0.000221098 9.00915e-05 0.000159946 5.56543e-05 5.02081e-05
31 0.000417352 0.000303352 0.000393969 0.000206063 0.00020454 0.000209157 0.000172457 0.0015914 0.000442941 0.000989051 0.000148886 0.000268339 0.0002892 0.000496195 0.000307895 0.000487764 0.000126859 0.00135496 0.000417644 0.000319583 0.000332068 0.00027783 0.00343662 0.00154969 0.000259284 0.000737601 0.000471688 0.000783584 0.00035606 0.000798706 0.00322 0.529505 0.0180316 0.000386723 0.00148634 0.00024518 0.000395061 0.000380798 0.000401209 0.000551903 0.000295382 0.00045934 0.000890932 0.000483991 0.000371328 0.000312488 0.000891694 0.00030997 0.000568086 0.000482868 0.00023658 0.00169282 0.00185148 0.000491414 0.000239477 0.00039217 0.0018419 0.402973 0.00774517 0.000426892 0.00163739 0.000296192 0.000287516 0.000925314 0.00114141
32 0.000559377 0.000742031 0.00110671 0.000650065 0.000712232 0.000732928 0.00103758 0.000674831 0.000921169 0.000449132 0.00456383 0.0012807 0.000551699 0.00123211 0.000867046 0.000618567 0.000618518 0.000967465 0.000498848 0.000632972 0.00110366 0.000678275 0.00119631 0.00220015 0.000848523 0.000448259 0.000717331 0.00231269 0.000529605 0.000447535 0.00051818 0.00133061 0.491432 0.00115055 0.000226176 0.00117962 0.000875736 0.0011855 0.000756048 0.00139352 0.000730357 0.000851728 0.000402622 0.00250636 0.000518437 0.000405058 0.000664134 0.000498743 0.00081535 0.00226138 0.00122593 0.00242853 0.000932943 0.000748527 0.00114693 0.000372304 0.000859529 0.000546179 0.44504 0.00155294 0.00177409 0.000560025 0.000869908 0.00128216 0.00105731
33 4.33786e-05 5.47972e-05 8.93238e-05 3.73512e-05 6.23873e-05 5.72908e-05 4.32882e-05 0.000145452 3.54661e-05 2.58198e-05 0.000631413 3.7994e-05 3.67858e-05 6.34844e-05 5.76669e-05 5.52343e-05 3.68399e-05 0.000185763 9.9454e-05 6.61816e-05 0.000925445 5.23496e-05 0.00072683 0.000437385 2.82188e-05 4.53668e-05 3.95784e-05 0.0002439 0.000104581 6.49149e-05 5.48594e-05 0.000278662 0.000199617 0.587275 0.000673124 0.000531219 5.11613e-05 7.8837e-05 3.02829e-05 8.44509e-05 3.28461e-05 7.18302e-05 4.82055e-05 0.000121829 5.50329e-05 5.78103e-05 0.000184369 4.9504e-05 0.000281512 8.8271e-05 2.65983e-05 5.56007e-05 4.76557e-05 0.000178875 8.20126e-05 4.63194e-05 0.000117236 0.000193077 0.000353638 0.402093 0.000818308 0.000335162 0.000752982 8.41526e-05 3.30622e-05
